quartier,commune,valid_anchors,confirm_eligible,corrected_road_length_m
Abokicodji-Centre,COTONOU,1,1,645.2
Abokicodji-Lagune,COTONOU,2,2,328.1
Adjagbo,ABOMEY-CALAVI,10,6,1653.5
Adjagbo-Aïdjèdo,ABOMEY-CALAVI,1,0,31221.9
Adjaha-Cité,COTONOU,1,1,154.4
Adjamè,,0,0,0.0
"Adjamè
",ABOMEY-CALAVI,0,0,1334.9
Adjogansa,ABOMEY-CALAVI,0,0,483.3
Adjégounlè,COTONOU,0,0,1482.3
Adovié,ABOMEY-CALAVI,2,1,757.4
Adôgléta,COTONOU,2,2,340.9
Agamandin,ABOMEY-CALAVI,3,3,1298.3
Agassa-Godomey,ABOMEY-CALAVI,8,8,709.9
Agbatô,COTONOU,6,0,192.1
Agbodjèdo,COTONOU,9,9,3182.5
Agbondjèdo,COTONOU,1,1,1768.4
Agla-Agongbomey,COTONOU,0,0,153.8
Agla-Akplomey,,0,0,0.0
Agla-Centre,COTONOU,0,0,159.0
Agla-Figaro,,0,0,0.0
Agla-Les-Pylônes,COTONOU,2,1,944.0
Agla-Petit-Château,COTONOU,1,0,109.2
Agongbé,ABOMEY-CALAVI,0,0,2301.5
"Agonkanmey
",ABOMEY-CALAVI,0,0,494.8
Agonkèssa,ABOMEY-CALAVI,0,0,571.4
Agonmé,ABOMEY-CALAVI,1,1,314.4
Agonsoudja,ABOMEY-CALAVI,2,1,244.8
Agontinkon,COTONOU,4,3,3296.0
Agori,ABOMEY-CALAVI,1,0,2003.4
Agounvocôdji,COTONOU,0,0,793.0
Ahogbohoué-Cité-Eucharistie,COTONOU,1,0,11686.7
Ahossougbéta,ABOMEY-CALAVI,5,3,293.0
Ahouanlèko,COTONOU,0,0,702.4
Ahouansori-Towéta,COTONOU,3,1,132.6
Ahouansori-Towéta-Kpota,COTONOU,0,0,112.0
Ahouansouri-Agata,COTONOU,1,1,599.7
Ahouansouri-Agué,COTONOU,0,0,26.4
Ahouassa,COTONOU,5,5,2126.6
Ahouato,ABOMEY-CALAVI,0,0,251.1
Akassato,ABOMEY-CALAVI,35,18,9629.0
Akossavié,ABOMEY-CALAVI,0,0,434.0
Akpakpa-Dodomè,COTONOU,7,3,3946.1
Akôgbato,,0,0,0.0
Alansankomè,ABOMEY-CALAVI,0,0,5466.2
Alègléta,ABOMEY-CALAVI,1,0,151.5
Alédjo,,0,0,0.0
"Alédjo
",ABOMEY-CALAVI,0,0,133.1
"Amahoun
",ABOMEY-CALAVI,0,0,140.3
